epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
79,8583.85,0.53243,0.57178,0.29302,0.0017,0.04125,0.97973,0.9578,0.97802,0.90161,0.98301,0.96136,0.97966,0.82612,0.41844,0.59767,0.19415,0.00228,0,0.00426,0.00142,0.00426,0.00142,0.00426,0.00142,0.00426,0.00142
80,8692.04,0.53139,0.57418,0.2835,0.00168,0.03727,0.97609,0.95878,0.97775,0.90224,0.97972,0.96192,0.97972,0.82728,0.41659,0.59698,0.1937,0.00227,0,0.00393,0.00131,0.00393,0.00131,0.00393,0.00131,0.00393,0.00131
81,8800.61,0.45654,0.53152,0.20011,0.0018,0.01176,0.97886,0.9567,0.97788,0.90169,0.98113,0.95955,0.98049,0.82704,0.41835,0.60237,0.19062,0.00228,0,0.0036,0.0012,0.0036,0.0012,0.0036,0.0012,0.0036,0.0012
82,8907.21,0.44112,0.5134,0.18335,0.00175,0.01041,0.97883,0.9549,0.97783,0.90231,0.97668,0.96263,0.98043,0.82893,0.41758,0.60753,0.19105,0.00227,0,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109
83,9014.27,0.43445,0.50408,0.18139,0.00173,0.00979,0.97972,0.95434,0.97725,0.90206,0.98282,0.95819,0.98031,0.82845,0.41842,0.60975,0.19236,0.00228,0,0.00294,0.00098,0.00294,0.00098,0.00294,0.00098,0.00294,0.00098
84,9120.95,0.42613,0.50012,0.17422,0.00168,0.00903,0.98231,0.95656,0.97766,0.90253,0.98576,0.96049,0.98065,0.82892,0.41835,0.60204,0.19029,0.00227,0,0.00261,0.00087,0.00261,0.00087,0.00261,0.00087,0.00261,0.00087
85,9228.41,0.42839,0.50732,0.17172,0.0017,0.0085,0.97723,0.95771,0.97755,0.90245,0.9809,0.96201,0.98052,0.8277,0.41803,0.60301,0.18977,0.00227,0,0.00228,0.00076,0.00228,0.00076,0.00228,0.00076,0.00228,0.00076
86,9334.84,0.42333,0.50466,0.17211,0.00164,0.00944,0.97864,0.95965,0.9774,0.90218,0.98162,0.96417,0.9804,0.82736,0.4171,0.60426,0.18838,0.00227,0,0.00195,0.00065,0.00195,0.00065,0.00195,0.00065,0.00195,0.00065
87,9442.34,0.41379,0.50204,0.16984,0.00162,0.00875,0.97561,0.96087,0.97726,0.90167,0.97869,0.9652,0.98034,0.82782,0.41658,0.61342,0.1876,0.00227,0,0.00162,0.00054,0.00162,0.00054,0.00162,0.00054,0.00162,0.00054
88,9551.1,0.41626,0.49766,0.16905,0.00163,0.00889,0.97802,0.96069,0.97795,0.90209,0.98138,0.96402,0.98036,0.82727,0.41605,0.61339,0.1876,0.00227,0,0.00129,0.00043,0.00129,0.00043,0.00129,0.00043,0.00129,0.00043
89,9660.76,0.41092,0.49562,0.1681,0.00157,0.00823,0.97907,0.96062,0.97771,0.90173,0.98244,0.96387,0.98022,0.82739,0.41523,0.61424,0.19028,0.00225,0,0.00096,0.00032,0.00096,0.00032,0.00096,0.00032,0.00096,0.00032
90,9768.61,0.3984,0.49668,0.15894,0.00158,0.00843,0.97632,0.96262,0.97754,0.90219,0.98225,0.96301,0.98007,0.82781,0.41521,0.61399,0.18955,0.00225,0,0.00063,0.00021,0.00063,0.00021,0.00063,0.00021,0.00063,0.00021
